Identifier,NodeType,followers,Following,connections,Degree
adamshen,leaf-user,,,,2
adamtha,user,4,42,46,45
adamwathan,leaf-user,,,,3
adan830,leaf-user,,,,2
adar-w,leaf-user,,,,3
adas4,leaf-user,,,,2
Adaxry,leaf-user,,,,4
addappcn,leaf-user,,,,3
AddictedCS,user,33,0,33,33
addyosmani,leaf-user,,,,79
Adeelchowdhry,leaf-user,,,,2
adelriosantiago,leaf-user,,,,2
ademilter,leaf-user,,,,3
aden,leaf-user,,,,2
a-despres,user,5,4,9,7
adewes,leaf-user,,,,2
AdiChat,leaf-user,,,,60
adidahiya,leaf-user,,,,2
adityaanupindi,leaf-user,,,,13
AdityaGogoi,leaf-user,,,,2
adityapooniya,leaf-user,,,,2
adizhavo,leaf-user,,,,2
adminfyy,user,5,5,10,9
adon-at-work,leaf-user,,,,2
adothraki,leaf-user,,,,3
adrianco,leaf-user,,,,3
adrianholovaty,leaf-user,,,,2
adrianorighi,leaf-user,,,,3
AdriOZ,leaf-user,,,,3
adulau,leaf-user,,,,2
aechchiki,leaf-user,,,,2
aedorado,leaf-user,,,,2
aelcenganda,leaf-user,,,,2
aemkei,leaf-user,,,,3
AeronStory,user,51,51,102,388
Aeropio,user,6,78,84,84
Aevit,user,51,1,52,54
afabbro,leaf-user,,,,6
afc163,leaf-user,,,,21
afelicioni,leaf-user,,,,2
afollestad,leaf-user,,,,9
afonsopacifer,leaf-user,,,,5
Afra55,leaf-user,,,,6
afritzler,leaf-user,,,,2
afronski,leaf-user,,,,3
afropolymath,leaf-user,,,,2
AfryMask,leaf-user,,,,2
afshinm,leaf-user,,,,3
agabardo,user,44,51,95,71
againbike1,leaf-user,,,,2
agapple,user,51,10,61,63
agbeltran,leaf-user,,,,2
ageis,leaf-user,,,,3
agentzh,leaf-user,,,,23
agggaurav,leaf-user,,,,2
agibsonccc,leaf-user,,,,3
agl,leaf-user,,,,4
agladysh,leaf-user,,,,2
AGMadera,leaf-user,,,,2
agortega,user,15,49,64,55
AgtLucas,leaf-user,,,,5
aguai,leaf-user,,,,5
AGWA,leaf-user,,,,2
aha2mao,leaf-user,,,,2
ahadyekta,leaf-user,,,,2
ahangchen,user,51,49,100,103
ahbing,leaf-user,,,,2
aheckmann,leaf-user,,,,13
ahejlsberg,leaf-user,,,,8
ahjdzx,leaf-user,,,,2
ahlfors,leaf-user,,,,2
ahmadazimi,leaf-user,,,,2
ahmad-goudah,leaf-user,,,,2
ahmadina,leaf-user,,,,2
AhmadNemati,leaf-user,,,,2
ahmadrimawe,leaf-user,,,,2
Ahmedmostafafoda,leaf-user,,,,2
ahmehri,leaf-user,,,,2
ahmetabdi,leaf-user,,,,16
ahmetkotan,leaf-user,,,,2
ahousley,leaf-user,,,,3
ahpiau18,leaf-user,,,,2
ai,leaf-user,,,,5
AidraFox,user,7,8,15,12
AigeStudio,leaf-user,,,,4
aikomastboom,user,8,6,14,11
AimingHua,leaf-user,,,,3
ain-,leaf-user,,,,2
ainsey11,leaf-user,,,,2
airen,user,51,51,102,112
airingursb,leaf-user,,,,4
Airtnp,leaf-user,,,,2
airyland,leaf-user,,,,9
aisk,leaf-user,,,,4
aisuhua,leaf-user,,,,2
ajaviad,leaf-user,,,,2
ajinkyakulkarni,leaf-user,,,,3
ajl412860,leaf-user,,,,2
ajlkn,leaf-user,,,,3
ajluo,leaf-user,,,,6
ajmalafif,leaf-user,,,,2
ajomadlabs,leaf-user,,,,2
ajoulin,leaf-user,,,,2
ajsb85,leaf-user,,,,14
ajschumacher,leaf-user,,,,2
ajtowf,leaf-user,,,,2
ajzeng,leaf-user,,,,2
Akagi201,leaf-user,,,,6
akarnokd,leaf-user,,,,3
akarshsatija,leaf-user,,,,3
akash-vartak,leaf-user,,,,3
akatrevorjay,leaf-user,,,,3
akbaryu,leaf-user,,,,3
AKD92,leaf-user,,,,7
akemimadoka,user,25,51,76,62
AkihikoITOH,leaf-user,,,,2
Akikonata,leaf-user,,,,2
akinhwan,leaf-user,,,,9
AKIo0O,leaf-user,,,,2
akira-cn,leaf-user,,,,12
Akira-Hayasaka,user,51,51,102,85
akkuraten,leaf-user,,,,8
akmur,leaf-user,,,,2
akochemasov,user,1,7,8,8
akoeplinger,user,51,0,51,51
akof1314,leaf-user,,,,2
akrabat,leaf-user,,,,17
Akryum,leaf-user,,,,2
Akshar-Patel,leaf-user,,,,5
akshaynayak,leaf-user,,,,2
akshayvinchurkar,leaf-user,,,,2
aktech,leaf-user,,,,2
akueisara,leaf-user,,,,2
alaa,leaf-user,,,,2
AlaBenTrad,leaf-user,,,,4
alain01,user,7,1,8,7
alaingalvan,leaf-user,,,,2
alamby,leaf-user,,,,2
AlaminMahamud,leaf-user,,,,3
AlanCheen,leaf-user,,,,6
alanhamlett,leaf-user,,,,7
alanliang92,leaf-user,,,,2
AlanMelody,leaf-user,,,,3
Albanbrooke,leaf-user,,,,2
AlbertAZ1992,leaf-user,,,,3
albertbuchard,leaf-user,,,,4
alcat2008,leaf-user,,,,2
aldeed,leaf-user,,,,4
aleafs,leaf-user,,,,3
aleccool213,leaf-user,,,,3
aleen42,leaf-user,,,,2
alef-0,leaf-user,,,,2
alejonext,leaf-user,,,,2
aleju,leaf-user,,,,3
alenzhao,leaf-user,,,,5
alephmelo,leaf-user,,,,2
alerque,leaf-user,,,,2
alex,leaf-user,,,,16
alex1504,leaf-user,,,,2
alex3alex,user,1,25,26,25
alexandergorban,leaf-user,,,,2
alexanderGugel,leaf-user,,,,2
alexanderkyte,user,30,2,32,32
alexandreo,leaf-user,,,,2
alexayan,leaf-user,,,,3
AlexBai1991,leaf-user,,,,2
AlexBaranosky,leaf-user,,,,2
alexbw,leaf-user,,,,3
alex-cory,user,51,51,102,137
alexcrichton,leaf-user,,,,3
AlexDBlack,leaf-user,,,,2
AlexDobrushskiy,leaf-user,,,,2
alexdrk,leaf-user,,,,4
AlexDudar,leaf-user,,,,2
AlexEul,leaf-user,,,,5
alexflint,leaf-user,,,,2
alexgarrett,leaf-user,,,,2
alexgibson,leaf-user,,,,2
alexgorbatchev,leaf-user,,,,2
ALEXGUOQ,leaf-user,,,,2
alexhultman,leaf-user,,,,2
alexinea,user,43,41,84,69
Alexintosh,leaf-user,,,,2
alexischr,user,51,16,67,68
AlexisOhanian,leaf-user,,,,12
alexjc,leaf-user,,,,7
alexkirya,leaf-user,,,,2
alexkuz,leaf-user,,,,3
alexmeshkin,leaf-user,,,,2
alexmoreno,leaf-user,,,,2
alexonozor,leaf-user,,,,2
alexpearce,leaf-user,,,,2
AlexPnt,leaf-user,,,,2
alexsanderkhitev,leaf-user,,,,2
alexsomai,user,27,51,78,66
alex-wilmer,leaf-user,,,,2
AlexxNica,user,16,51,67,74
alexyoung,leaf-user,,,,3
alfa-abhi,leaf-user,,,,3
alfatechpl,leaf-user,,,,5
alfonsodg,user,9,2,11,11
AlfredTheBest,leaf-user,,,,2
alganet,leaf-user,,,,5
algobasket,leaf-user,,,,3
alicaglayan,user,51,51,102,157
alicanozer,leaf-user,,,,2
alicePan,leaf-user,,,,3
alienwow,leaf-user,,,,2
aligoren,leaf-user,,,,7
alihanniba,leaf-user,,,,2
alimanfoo,leaf-user,,,,3
AliMD,leaf-user,,,,2
alincode,leaf-user,,,,2
alinous-core,leaf-user,,,,5
alinz,leaf-user,,,,2
Ali-Razmjoo,leaf-user,,,,2
alireza-ahmadi,leaf-user,,,,2
Alireza-Dezfoolian,leaf-user,,,,6
alirezaghorbani,user,17,51,68,68
Alirezaies,leaf-user,,,,4
AliSoftware,leaf-user,,,,2
alisonmonteiro,leaf-user,,,,2
alisson-mich,leaf-user,,,,2
AlistairNWard,leaf-user,,,,2
allan2coder,leaf-user,,,,2
allancarlos123,leaf-user,,,,2
allanfish,leaf-user,,,,3
AllenChiangCN,user,6,16,22,16
allencloud,leaf-user,,,,2
AllenCoder,leaf-user,,,,2
AllenDowney,leaf-user,,,,4
allenfantasy,leaf-user,,,,2
allengaller,leaf-user,,,,2
allenhsu,leaf-user,,,,3
alleninshell,leaf-user,,,,2
allenm,leaf-user,,,,2
allenwong,leaf-user,,,,2
allenx,leaf-user,,,,2
Allenxuxu,user,1,10,11,10
Alleysakura,leaf-user,,,,2
alleyvandal,user,4,1,5,5
allinurl,leaf-user,,,,2
AlloVince,leaf-user,,,,3
alma4rebi,leaf-user,,,,9
almasaeed2010,leaf-user,,,,2
almgwary,leaf-user,,,,2
alonevision,user,7,6,13,9
alpha080,leaf-user,,,,2
AlphaPig404,leaf-user,,,,4
alrra,leaf-user,,,,2
alsotang,user,51,51,102,119
altercation,leaf-user,,,,2
alteredq,leaf-user,,,,3
Aluxian,leaf-user,,,,3
alvarotrigo,leaf-user,,,,7
alvarowolfx,leaf-user,,,,2
alvinyen,leaf-user,,,,2
AlxMedia,leaf-user,,,,2
alynnefs,leaf-user,,,,2
alysonla,leaf-user,,,,3
amannayak0007,leaf-user,,,,3
amanoberoi,user,2,0,2,2
amanullah-1,leaf-user,,,,2
amark,leaf-user,,,,3
amar-laksh,user,18,51,69,57
amasad,leaf-user,,,,2
AmazingJTH,leaf-user,,,,17
amazingSurge,leaf-user,,,,3
ambarrio,leaf-user,,,,2
ambross,leaf-user,,,,2
amcharts,user,39,0,39,39
amdgigabyte,user,43,44,87,75
amethyst-asuka,user,2,2,4,3
amgYen,leaf-user,,,,5
AmiBang,user,9,23,32,23
amibition521,leaf-user,,,,2
amibug,leaf-user,,,,2
amilajack,leaf-user,,,,4
amiller,leaf-user,,,,2
aMinuteMan,leaf-user,,,,2
amir-khakshour,user,5,9,14,12
AmirMansoury,leaf-user,,,,2
amir-zamani,leaf-user,,,,4
amitp,leaf-user,,,,2
amitshekhariitbhu,leaf-user,,,,4
amitthere,leaf-user,,,,2
amkurian,user,6,8,14,12
ammadk,leaf-user,,,,2
ammeep,leaf-user,,,,6
amobiz,user,51,51,102,105
amor520,user,14,51,65,61
amouly,leaf-user,,,,2
Amrykid,leaf-user,,,,2
amueller,leaf-user,,,,10
Amy9210,leaf-user,,,,2
amyu,leaf-user,,,,2
an0,leaf-user,,,,2
An3bi,leaf-user,,,,4
AnaBlond,leaf-user,,,,6
anaidgit,user,6,1,7,6
analogt,user,6,11,17,16
anandology,leaf-user,,,,2
anantrao07,leaf-user,,,,2
anbgsl1110,leaf-user,,,,4
aNd1coder,user,25,27,52,49
andabous,leaf-user,,,,5
andela-akhenda,user,3,7,10,7
andela-hkoske,leaf-user,,,,2
andela-sdamian,leaf-user,,,,2
andela-tolotin,user,48,51,99,72
andelf,leaf-user,,,,3
andersao,leaf-user,,,,2
andersy005,user,21,34,55,42
AndiChiou,user,51,51,102,285
andismith,user,51,16,67,65
andot,leaf-user,,,,5
Andrax,user,19,20,39,31
AndreaOrru,leaf-user,,,,2
AndreaPaciolla,user,5,17,22,19
andrearruda,user,7,51,58,56
AndreasMadsen,leaf-user,,,,3
andreasrs,leaf-user,,,,2
andreguedes,user,48,51,99,68
andreiglingeanu,leaf-user,,,,2
andrerpena,leaf-user,,,,2
andresmontoyat,user,34,51,85,64
andresriancho,leaf-user,,,,2
andrew,leaf-user,,,,12
andrewdownie,user,19,15,34,21
andrewgodwin,leaf-user,,,,2
andrewiiird,leaf-user,,,,10
Andrew-liu,leaf-user,,,,4
andrewngu,user,51,6,57,56
andrewrech,leaf-user,,,,2
andrewrk,leaf-user,,,,2
andrewscaya,user,7,23,30,24
andrewsyc,user,51,21,72,143
andreypopp,leaf-user,,,,2
andreztz,user,37,51,88,66
AndriiTsok,leaf-user,,,,2
androa,user,22,10,32,30
android10,leaf-user,,,,6
android-cjj,leaf-user,,,,9
androidcode33,leaf-user,,,,4
androidDeveloper351698,leaf-user,,,,4
AndroidDeveloperLB,leaf-user,,,,2
AndroidJiang,user,27,3,30,28
androidmalin,user,51,51,102,102
androidok,leaf-user,,,,5
androidTH,leaf-user,,,,2
androidyue,leaf-user,,,,4
andrreq,leaf-user,,,,2
andru255,leaf-user,,,,3
andyfan92,leaf-user,,,,2
andykamath,user,51,51,102,89
andylei18,leaf-user,,,,3
Andymag,leaf-user,,,,2
andymatuschak,leaf-user,,,,4
andy-mc,leaf-user,,,,2
andypetrella,leaf-user,,,,2
andypinet,leaf-user,,,,2
andyshora,leaf-user,,,,3
AndyWendt,leaf-user,,,,4
andywer,leaf-user,,,,2
AndyXuweijun,user,0,2,2,2
Andy-Yin,user,0,8,8,8
andyyou,leaf-user,,,,2
andy-yyyy,leaf-user,,,,2
aneasystone,leaf-user,,,,2
aneekroy,leaf-user,,,,2
anfederico,leaf-user,,,,3
angck,leaf-user,,,,2
angelamin,leaf-user,,,,2
AngelaMolina,user,17,0,17,17
Angelfirenze01,user,20,20,40,21
angelopoerio,leaf-user,,,,2
angelorocha,user,18,26,44,35
angiedang,leaf-user,,,,2
angus-c,leaf-user,,,,3
AngusFu,leaf-user,,,,4
AngusG,user,9,5,14,10
angusshire,user,51,51,102,608
ANHIG,leaf-user,,,,2
anhnguyendepocen,leaf-user,,,,2
aniketkatkar,leaf-user,,,,2
anilkeshwani,leaf-user,,,,2
animalist,leaf-user,,,,2
aniruddh214,user,13,51,64,70
aniruddha-adhikary,leaf-user,,,,2
AnirudhaS,user,5,1,6,6
anishathalye,leaf-user,,,,2
Ankita002,leaf-user,,,,3
ankita-singh,leaf-user,,,,2
ankitson,user,10,39,49,48
anmonteiro,leaf-user,,,,2
Annabab,leaf-user,,,,2
annagaiel,leaf-user,,,,2
annapawlicka,leaf-user,,,,2
anoiaque,leaf-user,,,,2
anonymous31173,leaf-user,,,,4
anoo-radha,leaf-user,,,,2
anprak,leaf-user,,,,2
ansar786,leaf-user,,,,2
ansjsun,leaf-user,,,,5
ansonbao,leaf-user,,,,5
answershuto,leaf-user,,,,39
anthanh,leaf-user,,,,2
anthonychu,user,24,2,26,25
Anthonymcqueen21,leaf-user,,,,2
anthonyshort,leaf-user,,,,3
antiagainst,leaf-user,,,,3
antimatter15,leaf-user,,,,5
antinucleon,leaf-user,,,,2
antirez,leaf-user,,,,33
antoinekociuba,user,10,23,33,32
Antoinemd,leaf-user,,,,2
antoniolg,leaf-user,,,,4
antontuzov,user,41,51,92,67
anubiann00b,leaf-user,,,,5
anujb,user,51,3,54,53
anuragreddygv323,leaf-user,,,,2
anurse,user,51,3,54,55
anuruddhal,user,2,0,2,2
anvaka,leaf-user,,,,4
anweshknayak,leaf-user,,,,3
anylzer,leaf-user,,,,3
aoaotown,leaf-user,,,,2
aosabook,leaf-user,,,,5
aosen,leaf-user,,,,2
apavlo,leaf-user,,,,2
apbcaa,leaf-user,,,,3
apenwarr,leaf-user,,,,2
aphyr,leaf-user,,,,9
APICloud-com,leaf-user,,,,2
aporat,user,51,51,102,83
AppDev666,user,20,51,71,68
appidiabhinav,leaf-user,,,,3
appleboy,leaf-user,,,,7
appleguy,leaf-user,,,,2
applenele,leaf-user,,,,3
apporc,leaf-user,,,,2
aprileelcich,leaf-user,,,,2
arabxoops,user,8,2,10,9
aranajhonny,leaf-user,,,,5
arasatasaygin,leaf-user,,,,2
arashkhoeini,leaf-user,,,,2
arashmilani,leaf-user,,,,2
aras-p,leaf-user,,,,4
arastu,leaf-user,,,,6
arbo-hacker,user,13,42,55,42
arcanu5,user,15,16,31,19
Arch88,leaf-user,,,,2
archetype2142,leaf-user,,,,2
archieyang,leaf-user,,,,2
archoncap,leaf-user,,,,4
arcturusannamalai,leaf-user,,,,2
Ardakilic,leaf-user,,,,2
arduanov,leaf-user,,,,17
aredridel,leaf-user,,,,3
arfa,leaf-user,,,,2
arhlong,leaf-user,,,,2
ariana2000,user,14,51,65,65
Ariequ,leaf-user,,,,2
aritraroy,leaf-user,,,,3
AriX,leaf-user,,,,3
ariya,leaf-user,,,,9
arizona2014,user,37,37,74,38
arjan,leaf-user,,,,2
arjun-wang,leaf-user,,,,2
arkanath,leaf-user,,,,2
arlolra,leaf-user,,,,2
arlong,leaf-user,,,,2
armandofox,leaf-user,,,,2
armintoepfer,user,10,5,15,12
armon,leaf-user,,,,6
armorsun,leaf-user,,,,2
army8735,leaf-user,,,,9
ARoiD,leaf-user,,,,8
aronwc,leaf-user,,,,2
arpit,leaf-user,,,,2
arq5x,leaf-user,,,,5
arrowrowe,leaf-user,,,,5
arshaw,leaf-user,,,,2
arsidnal16,leaf-user,,,,23
artchen,leaf-user,,,,2
artem-solovev,leaf-user,,,,4
arterli,user,16,0,16,16
artest2014,leaf-user,,,,3
arthurnn,leaf-user,,,,3
arthurvr,leaf-user,,,,2
ArthurZheng,leaf-user,,,,2
artlila,user,6,2,8,7
arturadib,user,51,0,51,52
arubtsov,leaf-user,,,,2
arundurvasula,leaf-user,,,,3
arunoda,leaf-user,,,,8
arv,leaf-user,,,,2
arvin641,leaf-user,,,,2
arvindarvee,leaf-user,,,,2
arvind-iyer,leaf-user,,,,2
as981242002,leaf-user,,,,2
asadrabbani,leaf-user,,,,2
asadrahman-horizon,leaf-user,,,,2
asadullah797,leaf-user,,,,2
asadutzaman,leaf-user,,,,2
asandyz,user,6,2,8,6
asciimoo,leaf-user,,,,2
ascoders,leaf-user,,,,3
aseemk,leaf-user,,,,2
asen477,leaf-user,,,,2
asergeyev,leaf-user,,,,2
asgrim,leaf-user,,,,2
ashish1294,leaf-user,,,,4
ashish2,leaf-user,,,,5
AshishCdev,leaf-user,,,,2
ashleygwilliams,leaf-user,,,,7
ashqal,leaf-user,,,,3
