Identifier,NodeType,followers,Following,connections,Degree
diogomoretti,leaf-user,,,,2
dionyziz,leaf-user,,,,3
diracdeltas,leaf-user,,,,5
dirkliu,user,51,51,102,66
dirong,leaf-user,,,,2
dirtycow,leaf-user,,,,4
dirtysalt,user,51,3,54,55
discobeta,leaf-user,,,,19
DiSiqueira,leaf-user,,,,3
Dissimulate,leaf-user,,,,2
district10,leaf-user,,,,2
divad12,leaf-user,,,,2
divan,leaf-user,,,,2
divega,leaf-user,,,,2
div-wang,user,21,42,63,59
divyang4481,leaf-user,,,,3
divyansha,user,4,10,14,14
DIYgod,user,51,51,102,114
djculex,user,10,4,14,12
Djelibeybi,user,49,5,54,49
djfoote,leaf-user,,,,2
djhvscf,leaf-user,,,,4
djkonro,leaf-user,,,,2
djspiewak,leaf-user,,,,5
djuery,leaf-user,,,,2
djv,leaf-user,,,,2
DJxiaoyun,leaf-user,,,,2
djyde,leaf-user,,,,8
dkanejs,leaf-user,,,,2
dkhamsing,leaf-user,,,,6
dkmeteor,leaf-user,,,,6
Dknightsure,leaf-user,,,,6
dlanileonardo,user,22,40,62,41
dlew,leaf-user,,,,3
dli,leaf-user,,,,4
dlion,leaf-user,,,,2
dllen,leaf-user,,,,3
dlsyaim,leaf-user,,,,2
dlt,leaf-user,,,,4
dmarges,leaf-user,,,,2
dmbaev,leaf-user,,,,2
dmbarbour,leaf-user,,,,2
dmbates,leaf-user,,,,2
dmethvin,user,51,1,52,54
dmfarcas,user,30,51,81,74
DmitryBaranovskiy,leaf-user,,,,6
DmitrySoshnikov,leaf-user,,,,2
dmsanchez86,leaf-user,,,,3
dmytrodanylyk,leaf-user,,,,2
dnasko,leaf-user,,,,3
dnomak,leaf-user,,,,5
docapotamus,leaf-user,,,,3
dochang,leaf-user,,,,2
doda,leaf-user,,,,3
dodo,leaf-user,,,,2
dodola,leaf-user,,,,12
dodoru,leaf-user,,,,2
dogabner,leaf-user,,,,2
doganaydin,leaf-user,,,,2
Dogndxt,leaf-user,,,,2
dogukankotan,user,12,25,37,25
Dogzhou,user,38,50,88,74
dolce,leaf-user,,,,2
dolfly,leaf-user,,,,2
dolphintwo,user,2,6,8,6
dolymood,leaf-user,,,,2
domchen,leaf-user,,,,2
domenic,leaf-user,,,,16
dominhhai,leaf-user,,,,2
dominicg666,leaf-user,,,,10
dominictarr,leaf-user,,,,6
DominikaR90,leaf-user,,,,3
domnikl,leaf-user,,,,3
Domy,leaf-user,,,,2
donaldcao,leaf-user,,,,2
dong111,leaf-user,,,,2
dong1819,leaf-user,,,,3
dongdong1517321,leaf-user,,,,2
donghuagif,user,51,51,102,111
dongjunkun,leaf-user,,,,2
dongkx93,leaf-user,,,,2
donglijun,leaf-user,,,,2
dongshaowei,leaf-user,,,,4
dongweiming,leaf-user,,,,10
DongYeHIT,leaf-user,,,,2
donho,leaf-user,,,,4
DonjuanChu,leaf-user,,,,2
donly,user,6,7,13,11
donnemartin,leaf-user,,,,8
donnfelker,leaf-user,,,,3
donpark,user,51,49,100,97
donson,leaf-user,,,,2
doodersrage,user,23,23,46,24
doomsterinc,user,29,51,80,74
DoooReyn,leaf-user,,,,2
doowb,leaf-user,,,,2
dopost,leaf-user,,,,5
dorianneto,leaf-user,,,,2
doridori,leaf-user,,,,2
Dorin651,leaf-user,,,,4
dorvan,leaf-user,,,,6
dosarkz,leaf-user,,,,3
doterlin,leaf-user,,,,2
dotnetcurry,leaf-user,,,,2
dotnil,leaf-user,,,,4
dotscript,user,51,51,102,132
doubleotoo,leaf-user,,,,2
DoubleSpout,leaf-user,,,,10
douglascrockford,leaf-user,,,,51
douglasgscofield,user,18,7,25,25
DouglasRMiles,leaf-user,,,,2
dougmolineux,user,39,51,90,79
dougwilson,leaf-user,,,,10
dourgulf,leaf-user,,,,2
dowrow,user,40,51,91,70
doyoe,leaf-user,,,,7
dpatti,leaf-user,,,,2
dperini,leaf-user,,,,2
dpkingma,leaf-user,,,,2
dpossamai,leaf-user,,,,4
dpryan79,leaf-user,,,,2
dq5070410,user,0,16,16,16
dqdinh,leaf-user,,,,2
dracony,leaf-user,,,,2
dragonchi,leaf-user,,,,2
dragonmantank,leaf-user,,,,2
dragosh,user,12,6,18,17
drakeet,user,51,51,102,125
Draveness,leaf-user,,,,6
drawnepicenter,user,4,51,55,56
drbatty,leaf-user,,,,2
DrBoolean,leaf-user,,,,9
drdaliang,leaf-user,,,,2
drduan,leaf-user,,,,4
drduh,leaf-user,,,,2
dreamapplehappy,leaf-user,,,,3
dreamer75,leaf-user,,,,3
dreamexe,leaf-user,,,,2
DreaminginCodeZH,user,51,51,102,103
dreamkidd,user,39,43,82,51
dreampoetlee,leaf-user,,,,2
dreamyboy,leaf-user,,,,3
driewe,leaf-user,,,,3
drish,leaf-user,,,,3
DrKLO,leaf-user,,,,4
DrkSephy,leaf-user,,,,2
drme,user,8,0,8,8
drmein,leaf-user,,,,5
drnic,leaf-user,,,,2
droazen,user,9,0,9,9
DroidScript,user,7,0,7,7
droidwolf,leaf-user,,,,2
drojdjou,leaf-user,,,,3
drops123456,leaf-user,,,,2
droxer,leaf-user,,,,2
drudge,leaf-user,,,,3
drusepth,user,51,28,79,65
druvus,leaf-user,,,,5
dsbeginner,leaf-user,,,,5
dschles,leaf-user,,,,2
dsh0416,leaf-user,,,,6
dshaw,leaf-user,,,,6
DshtAnger,user,3,8,11,11
dstarr,leaf-user,,,,2
dstogov,leaf-user,,,,3
dstorey,leaf-user,,,,2
dstufft,leaf-user,,,,3
dsyer,leaf-user,,,,3
dsymonds,leaf-user,,,,2
dtao,leaf-user,,,,2
dthree,leaf-user,,,,4
dualface,user,51,5,56,60
Duan112358,leaf-user,,,,2
duaraghav8,leaf-user,,,,3
duard,leaf-user,,,,2
duck1123,leaf-user,,,,2
ducminhn,leaf-user,,,,2
ducrohet,leaf-user,,,,2
dugutang,leaf-user,,,,3
duhaime,leaf-user,,,,6
duhan96,leaf-user,,,,2
duizhanghenmang,leaf-user,,,,2
dullnull,leaf-user,,,,2
dumagento,leaf-user,,,,2
duncan60,leaf-user,,,,2
dunglas,leaf-user,,,,2
Dunkelheit,user,11,11,22,17
duodraco,leaf-user,,,,3
dushao103500,leaf-user,,,,3
dushibaiyu,leaf-user,,,,4
dustin,leaf-user,,,,2
dusz7,leaf-user,,,,2
dut3062796s,leaf-user,,,,3
dutn158,user,20,51,71,73
duxing2007,leaf-user,,,,2
duytran,leaf-user,,,,3
duzhuoyizui,leaf-user,,,,2
dvdwinden,user,7,10,17,16
DVFUTURE,leaf-user,,,,6
dvillagra,user,5,1,6,6
dvyukov,leaf-user,,,,4
dweinstein,leaf-user,,,,2
DwightDing,user,18,51,69,55
dwmkerr,user,51,2,53,52
dwqs,leaf-user,,,,2
dWvivi,leaf-user,,,,2
dxa4481,leaf-user,,,,2
dxg0317,leaf-user,,,,2
Dyakira,leaf-user,,,,2
dybvig,leaf-user,,,,3
dyc87112,leaf-user,,,,5
dyingbleed,leaf-user,,,,2
dyingjedi,leaf-user,,,,3
dynamicheart,leaf-user,,,,2
dynamitechetan,leaf-user,,,,2
dypsilon,leaf-user,,,,2
dysc,leaf-user,,,,40
Dzhakhar,leaf-user,,,,2
dzyhenry,user,21,51,72,65
E1101,user,27,51,78,65
e419,user,16,22,38,23
e7krgc,leaf-user,,,,2
eaglesjava,leaf-user,,,,2
eahefnawy,leaf-user,,,,8
Eamonnzhang,leaf-user,,,,2
eapache,leaf-user,,,,2
EarlGray,leaf-user,,,,2
earlymeme,leaf-user,,,,4
earthican,leaf-user,,,,2
EarvinKayonga,user,7,51,58,56
easier,leaf-user,,,,2
EastLee,leaf-user,,,,3
easychen,leaf-user,,,,9
EasyChris,leaf-user,,,,2
ebabel-eu,user,11,15,26,22
Ebaneck,user,2,3,5,4
ebidel,leaf-user,,,,9
ebottabi,leaf-user,,,,2
ebraminio,leaf-user,,,,4
Ebwin-lee,user,1,3,4,3
ecamacho,leaf-user,,,,2
echen,leaf-user,,,,5
echitey,leaf-user,,,,2
echodaemon,leaf-user,,,,2
EchoFUN,leaf-user,,,,2
echozhjun,leaf-user,,,,3
ecmadao,leaf-user,,,,4
edagarli,leaf-user,,,,2
edawson,user,16,3,19,19
edBaev,leaf-user,,,,2
eddelbuettel,user,51,34,85,89
EDD-GH,leaf-user,,,,2
eddodds,leaf-user,,,,3
EddyVerbruggen,leaf-user,,,,4
edersonlrf,user,20,51,71,52
edgardini,leaf-user,,,,2
edgeSuperman,user,6,2,8,8
edisona,leaf-user,,,,3
EdisonHsieh,leaf-user,,,,2
edjafarov,leaf-user,,,,2
ednapiranha,leaf-user,,,,3
edokeh,leaf-user,,,,3
EdoLabWorks,user,50,51,101,65
EdouardGrave,leaf-user,,,,3
eduardonunesp,user,51,51,102,95
EduardoPires,leaf-user,,,,2
edu-bot,user,51,51,102,268
eduramirezh,user,12,51,63,60
edwardhotchkiss,leaf-user,,,,2
edward-rdgz,leaf-user,,,,2
edwinb,leaf-user,,,,2
edwinvrgs,leaf-user,,,,2
eeandrew,leaf-user,,,,2
eecrazy,leaf-user,,,,3
egisatoshi,leaf-user,,,,3
egoist,leaf-user,,,,10
egonelbre,leaf-user,,,,2
egonSchiele,leaf-user,,,,3
egouldo,leaf-user,,,,2
egrcc,leaf-user,,,,2
ehsan-ah-gh,leaf-user,,,,2
EhsanAkbariBaseri,leaf-user,,,,2
ehsania,leaf-user,,,,2
eicca,user,17,11,28,18
Eilon,leaf-user,,,,2
einaros,leaf-user,,,,2
einverne,leaf-user,,,,2
einvince,leaf-user,,,,2
Eirbrie,leaf-user,,,,2
eiriklv,leaf-user,,,,2
EisenbergEffect,leaf-user,,,,3
eisneim,leaf-user,,,,7
eistrati,leaf-user,,,,5
ejelome,leaf-user,,,,2
ekalinin,user,51,51,102,96
ekeson,leaf-user,,,,2
ekeyme,user,2,4,6,4
ekg,leaf-user,,,,5
ekinhbayar,user,19,51,70,54
eklem,leaf-user,,,,2
ekmett,leaf-user,,,,4
ekpo-d,leaf-user,,,,2
eksperimental,leaf-user,,,,2
e-lain,user,1,5,6,6
elaine96,leaf-user,,,,2
elazarl,leaf-user,,,,2
ele828,user,51,51,102,103
elect86,leaf-user,,,,2
eleete,leaf-user,,,,2
elerch,user,5,0,5,5
elevenetc,leaf-user,,,,2
elf9237,leaf-user,,,,2
elfet,leaf-user,,,,3
elfmaster,leaf-user,,,,2
elgalu,leaf-user,,,,9
eliangcs,leaf-user,,,,4
eliben,leaf-user,,,,5
eliehirschfield,user,3,51,54,56
eliezerfot123,leaf-user,,,,3
eligrey,leaf-user,,,,2
elinaldosoft,leaf-user,,,,2
elisehuard,leaf-user,,,,2
elkdanger,user,6,5,11,10
elkos,leaf-user,,,,3
elkuku,leaf-user,,,,2
ellenemma,leaf-user,,,,6
ellerbrock,leaf-user,,,,3
ELLIOTTCABLE,leaf-user,,,,2
ellismg,leaf-user,,,,2
ElliyasAhmed,leaf-user,,,,2
ellzey,leaf-user,,,,2
elm-,user,10,2,12,12
elnatnal,user,11,22,33,27
elnx,leaf-user,,,,6
elrrrrrrr,leaf-user,,,,3
elvishew,leaf-user,,,,2
elviswf,leaf-user,,,,3
emaginejessica,leaf-user,,,,2
emanuelbuholzer,leaf-user,,,,2
emanuelrosa,leaf-user,,,,2
emedinaa,leaf-user,,,,2
emekaonu,leaf-user,,,,3
emerleite,leaf-user,,,,3
Emigre,leaf-user,,,,2
emilsjolander,leaf-user,,,,3
emilybache,leaf-user,,,,3
emily-plummer,leaf-user,,,,2
emilyrose,leaf-user,,,,2
emir,leaf-user,,,,3
emirias1,leaf-user,,,,2
EmmaGrassi,user,4,51,55,53
emmajane,leaf-user,,,,2
EmmanuelOga,leaf-user,,,,3
EmmaW8,leaf-user,,,,3
emmiter,leaf-user,,,,2
emojiijome,leaf-user,,,,6
EmpeRoar,leaf-user,,,,2
emre,leaf-user,,,,3
enaqx,leaf-user,,,,3
enchev,leaf-user,,,,2
enderahmetyurt,leaf-user,,,,3
endymecy,user,51,24,75,73
enesacikoglu,leaf-user,,,,2
eneskemalergin,leaf-user,,,,2
engelju,leaf-user,,,,3
EngineeredTruth,leaf-user,,,,2
englianhu,leaf-user,,,,3
englishm,leaf-user,,,,2
enix223,user,6,30,36,32
enjoystudy,leaf-user,,,,3
enlyn,user,3,2,5,5
enociz,leaf-user,,,,2
Entropy512,leaf-user,,,,2
enull,leaf-user,,,,2
envergokmen,leaf-user,,,,3
enxebre,leaf-user,,,,3
enygma,leaf-user,,,,2
Eonblast,leaf-user,,,,2
eonezhang,leaf-user,,,,2
EonKid,leaf-user,,,,7
epeli,leaf-user,,,,2
ephoton,leaf-user,,,,2
ephtracy,leaf-user,,,,2
eplt,leaf-user,,,,4
epsimatic88,leaf-user,,,,2
EQuimper,leaf-user,,,,2
eraad,leaf-user,,,,2
eralpkaraduman,leaf-user,,,,2
erancx,leaf-user,,,,2
erata,leaf-user,,,,2
ereddate,leaf-user,,,,3
ergenekonyigit,leaf-user,,,,2
erica,leaf-user,,,,4
ericaschulz,leaf-user,,,,2
ericdouglas,leaf-user,,,,5
ericelliott,leaf-user,,,,12
ericf,leaf-user,,,,2
Eric-Guo,leaf-user,,,,2
erichideki,leaf-user,,,,2
erichuang1994,leaf-user,,,,3
erickpatrick,leaf-user,,,,2
Erickson0806,leaf-user,,,,2
ericmj,leaf-user,,,,4
EricsonWillians,leaf-user,,,,2
erik168,leaf-user,,,,7
ErikAugust,user,41,51,92,65
erikbern,leaf-user,,,,4
eriknstr,user,47,51,98,99
erikras,leaf-user,,,,3
ErisDS,leaf-user,,,,5
erliang20088,leaf-user,,,,2
erning,leaf-user,,,,3
errordeveloper,leaf-user,,,,7
errorrik,leaf-user,,,,4
ersel,user,19,51,70,71
Erwin11,leaf-user,,,,2
eryxator,leaf-user,,,,2
es128,leaf-user,,,,2
esafak,leaf-user,,,,4
escapedcat,leaf-user,,,,2
Esdeath,leaf-user,,,,2
eshaiju,leaf-user,,,,2
esneko,leaf-user,,,,9
esonderegger,user,15,27,42,41
espeed,user,51,51,102,101
esprehn,leaf-user,,,,2
esrever10,leaf-user,,,,4
esselte974,leaf-user,,,,3
essen,leaf-user,,,,2
estark37,leaf-user,,,,3
estevanmaito,leaf-user,,,,2
esttorhe,leaf-user,,,,2
etal,leaf-user,,,,2
etangreal,leaf-user,,,,7
etarzan,user,4,7,11,7
etdev,leaf-user,,,,2
Eternaldream,leaf-user,,,,2
eterrao,leaf-user,,,,2
ethan-funny,leaf-user,,,,2
ethantw,leaf-user,,,,2
EtherDream,leaf-user,,,,3
ethereon,leaf-user,,,,2
etopian,user,51,51,102,101
EtoZheTest,leaf-user,,,,2
euank,leaf-user,,,,2
eudoxia0,leaf-user,,,,3
eugeneware,leaf-user,,,,4
eupimenta,leaf-user,,,,2
euyuil,leaf-user,,,,2
ev1stensberg,leaf-user,,,,2
evamy,leaf-user,,,,2
evancz,leaf-user,,,,12
EvanDotPro,leaf-user,,,,9
EvanHahn,user,51,51,102,102
evanie2016,leaf-user,,,,13
evanlabs,leaf-user,,,,2
evanw,leaf-user,,,,2
Evawangt,leaf-user,,,,3
Evaxtt,leaf-user,,,,3
eveleker,leaf-user,,,,4
eveningkid,leaf-user,,,,2
evenmatrix,leaf-user,,,,2
everhopingandwaiting,leaf-user,,,,3
everlose,leaf-user,,,,2
everthis,user,22,51,73,73
Evertonnrb,user,8,12,20,16
everzet,leaf-user,,,,2
EvgenAl,leaf-user,,,,2
evgv,user,1,2,3,2
Evi1m0,leaf-user,,,,2
evilband7,user,4,9,13,13
evilcos,user,51,7,58,81
Evilmass,user,6,6,12,7
evilnapsis,leaf-user,,,,3
evilroxx,leaf-user,,,,2
evilsocket,leaf-user,,,,4
evincarofautumn,leaf-user,,,,2
evinw,user,51,51,102,275
evmar,leaf-user,,,,2
evolvedmicrobe,user,30,51,81,70
evoskuil,leaf-user,,,,2
ewdave,leaf-user,,,,2
ewerschdlr,leaf-user,,,,2
existenzial,user,43,51,94,66
exo-m,user,1,1,2,2
exoticknight,leaf-user,,,,2
expede,leaf-user,,,,2
exp-sky,leaf-user,,,,2
extreme-assistant,leaf-user,,,,2
extremecoders-re,leaf-user,,,,2
eyalsk,leaf-user,,,,2
eyas-ranjous,user,22,33,55,41
eyeplum,leaf-user,,,,2
eyesfrog,leaf-user,,,,2
ezavile,leaf-user,,,,2
ezeql,leaf-user,,,,3
ezimuel,leaf-user,,,,9
EZLippi,leaf-user,,,,2
f,leaf-user,,,,8
f111fei,leaf-user,,,,2
f2er,leaf-user,,,,9
f2prateek,leaf-user,,,,3
fabiendibot,leaf-user,,,,2
fabienfeat,user,2,7,9,8
FabienO,leaf-user,,,,2
fabiocarneiro,user,35,51,86,75
fabiorphp,leaf-user,,,,2
fabpot,leaf-user,,,,11
fabricelepro,user,23,51,74,77
facebook-github-bot,leaf-user,,,,2
faceleg,leaf-user,,,,2
facelessman,leaf-user,,,,13
facert,leaf-user,,,,2
faddat,leaf-user,,,,3
fafamx,leaf-user,,,,2
Fafnur,user,38,5,43,41
fairysspring,leaf-user,,,,2
Faithful-Mind,user,4,16,20,20
fakefish,user,51,51,102,100
fakegit,leaf-user,,,,2
fallenk,leaf-user,,,,3
fallwater,leaf-user,,,,2
fan719,leaf-user,,,,4
fanApple,leaf-user,,,,4
fanfanqy,leaf-user,,,,2
fangwei716,user,51,0,51,51
fanikiwa,leaf-user,,,,2
fanquake,leaf-user,,,,3
fanshaoze,leaf-user,,,,2
fantasai,leaf-user,,,,2
FantasRu,leaf-user,,,,2
fantiny,leaf-user,,,,2
fanweixiao,leaf-user,,,,2
fanwentao,leaf-user,,,,2
fanyer,leaf-user,,,,9
fanzeyi,leaf-user,,,,2
farazfazli,leaf-user,,,,7
farbod-s,leaf-user,,,,2
fare,leaf-user,,,,2
FarhadHey96,user,8,51,59,55
farhadi,leaf-user,,,,3
farhanma,leaf-user,,,,2
faridcher,leaf-user,,,,2
FaridSafi,leaf-user,,,,3
faroncoder,leaf-user,,,,2
farseerfc,leaf-user,,,,4
farskid,user,12,51,63,56
fashare2015,leaf-user,,,,2
fat,leaf-user,,,,17
fatewx,leaf-user,,,,2
fatih,leaf-user,,,,8
fatihacet,leaf-user,,,,2
fatiherikli,leaf-user,,,,8
favourch,leaf-user,,,,2
fayching,leaf-user,,,,4
fayland,leaf-user,,,,2
fceller,leaf-user,,,,8
fchollet,leaf-user,,,,12
fcschmidt,user,28,51,79,73
fdaciuk,leaf-user,,,,4
fdolzanes1,leaf-user,,,,3
Feboam,leaf-user,,,,9
fedelaney,user,5,4,9,6
federicobucchi,leaf-user,,,,3
fedojo,leaf-user,,,,3
feelinglucky,leaf-user,,,,6
fegg,leaf-user,,,,4
fei0810,leaf-user,,,,2
feihujiang,leaf-user,,,,2
Feiox,leaf-user,,,,2
feiskyer,leaf-user,,,,3
feiyan35488,leaf-user,,,,2
feiyunhao,leaf-user,,,,3
felclef,leaf-user,,,,2
felipecsl,leaf-user,,,,3
felipecustodio,leaf-user,,,,2
felipenoris,user,21,51,72,53
felipensp,leaf-user,,,,2
felipetavares,leaf-user,,,,2
FelisCatus,leaf-user,,,,4
felixge,leaf-user,,,,14
felixlaumon,leaf-user,,,,2
felixonmars,leaf-user,,,,5
FelixWatilah,leaf-user,,,,5
felladrin,leaf-user,,,,3
femtotrader,leaf-user,,,,4
feng524822,leaf-user,,,,2
fengdi,leaf-user,,,,3
fengli,leaf-user,,,,3
fenglingzhi,leaf-user,,,,2
fengmk2,user,51,51,102,136
fengnanyue,leaf-user,,,,23
fengshengbing,leaf-user,,,,3
fengsp,leaf-user,,,,2
fengyuanchen,leaf-user,,,,3
FengYuHe,user,22,32,54,48
fengyun2,leaf-user,,,,3
FengYusheng,leaf-user,,,,2
fengzhensheng,leaf-user,,,,3
fengzilong,leaf-user,,,,3
fenivana,leaf-user,,,,2
fenjuly,leaf-user,,,,3
FenngChenn,leaf-user,,,,3
fent,leaf-user,,,,2
ferbncode,user,38,51,89,67
fermino,leaf-user,,,,2
fermion42,user,24,20,44,36
fernadosilva,user,4,0,4,4
Fernando0069,leaf-user,,,,2
fernandoGuisso,leaf-user,,,,2
fernandoneto,leaf-user,,,,4
fernanDOTdo,user,27,51,78,62
feross,leaf-user,,,,17
ferparra,leaf-user,,,,2
ferventdesert,leaf-user,,,,2
feuyeux,user,51,13,64,65
FezVrasta,leaf-user,,,,2
fffaraz,leaf-user,,,,4
ffffux,leaf-user,,,,2
ffmpbgrnn,leaf-user,,,,2
ffrancis,leaf-user,,,,4
fgarci03,leaf-user,,,,3
fgcui1204,leaf-user,,,,2
fgliu,user,18,51,69,51
fhbianling,leaf-user,,,,4
fichtl,leaf-user,,,,2
fiddlerwoaroof,leaf-user,,,,2
fightbear,leaf-user,,,,2
fighteryu,user,1,22,23,23
fijimunkii,leaf-user,,,,3
filipedeschamps,leaf-user,,,,4
filosfino,leaf-user,,,,4
FiloSottile,leaf-user,,,,2
fin618,user,3,51,54,54
finaldie,leaf-user,,,,2
financeCoding,leaf-user,,,,2
finderabd135,user,15,51,66,66
Fine0830,leaf-user,,,,2
finscn,user,51,25,76,84
FinWarman,user,12,25,37,30
fiona23,leaf-user,,,,3
fiona-hall,leaf-user,,,,4
FirasSadiyah,leaf-user,,,,2
firede,leaf-user,,,,6
FireZenk,leaf-user,,,,2
fishbar,leaf-user,,,,2
fishercoder1534,leaf-user,,,,3
fishkingsin,leaf-user,,,,2
Fishrock123,leaf-user,,,,2
Fity,leaf-user,,,,4
fitzgen,leaf-user,,,,3
FiveYellowMice,leaf-user,,,,2
fKEpro,leaf-user,,,,2
fkysly,leaf-user,,,,3
fkzhang,leaf-user,,,,2
flaing,leaf-user,,,,2
FlandreDaisuki,leaf-user,,,,2
Flantic,leaf-user,,,,2
flashback313,leaf-user,,,,3
flavienlaurent,leaf-user,,,,4
Flet,leaf-user,,,,2
fletcher,user,51,0,51,51
flex1988,leaf-user,,,,2
flfwzgl,user,24,51,75,69
flike,leaf-user,,,,5
flingjie,user,19,51,70,70
flniu,leaf-user,,,,2
floatdrop,leaf-user,,,,2
floatinghotpot,leaf-user,,,,3
floraLam,leaf-user,,,,2
florent37,leaf-user,,,,4
florinbroasca,leaf-user,,,,8
flowck,leaf-user,,,,2
FlowerInSunnySun,leaf-user,,,,4
Flowerowl,leaf-user,,,,2
FlowerWrong,leaf-user,,,,2
flowes,leaf-user,,,,2
floydwch,leaf-user,,,,4
Fluen,leaf-user,,,,20
fly2wind,leaf-user,,,,2
fly51fly,leaf-user,,,,19
flyer103,leaf-user,,,,2
flyer88,leaf-user,,,,2
flyerhzm,leaf-user,,,,3
flyfire,leaf-user,,,,2
flyingdew,leaf-user,,,,4
flyingmachine,leaf-user,,,,2
flykickbird,leaf-user,,,,2
flylicht,leaf-user,,,,3
flynngao,leaf-user,,,,4
flynntsc,leaf-user,,,,3
flytofly,leaf-user,,,,5
fmasanori,leaf-user,,,,2
FMCalisto,leaf-user,,,,4
fmoliveira,leaf-user,,,,4
fmsf,leaf-user,,,,2
fnlctrl,leaf-user,,,,2
fnothaft,leaf-user,,,,3
fntlnz,user,51,51,102,86
FocusLyn,leaf-user,,,,2
fogleman,leaf-user,,,,8
fogus,leaf-user,,,,4
foliveira,leaf-user,,,,2
followfork,leaf-user,,,,3
folz,leaf-user,,,,2
fomenyesu,leaf-user,,,,3
fomightez,user,38,51,89,67
fonnesbeck,leaf-user,,,,2
FooBarWidget,leaf-user,,,,2
fool1990,leaf-user,,,,2
fool2fish,leaf-user,,,,20
footearth,user,51,51,102,101
ForbesLindesay,leaf-user,,,,5
fordream,user,51,51,102,134
foreverflame,leaf-user,,,,2
ForeverHYH,leaf-user,,,,2
forhappy,leaf-user,,,,2
formalin14,leaf-user,,,,3
forthxu,leaf-user,,,,3
FortisFortuna,user,5,8,13,13
foru17,leaf-user,,,,9
fostion,user,18,51,69,56
fouber,leaf-user,,,,44
founderzhl,leaf-user,,,,2
Fover23,leaf-user,,,,2
foxbot,user,8,1,9,9
Foxing-wong,leaf-user,,,,3
foxlog,leaf-user,,,,2
foxly,leaf-user,,,,2
fpcMotif,leaf-user,,,,3
fpGHwd,leaf-user,,,,2
fphonor,leaf-user,,,,2
fpillet,leaf-user,,,,2
fqrouter,leaf-user,,,,4
franciscojsc,leaf-user,,,,2
franciscop,leaf-user,,,,2
FrancisLawlor,leaf-user,,,,4
frank06,leaf-user,,,,2
FrankAblert,leaf-user,,,,2
frankel,leaf-user,,,,2
FrankFang,leaf-user,,,,4
FrankHuangSZ,user,1,3,4,4
frankiesardo,leaf-user,,,,2
frankjunqi,leaf-user,,,,3
frankqnj,user,25,1,26,26
FrankRaoly,leaf-user,,,,4
frankscholten,user,51,51,102,106
frankshearar,leaf-user,,,,2
FrankSong93,leaf-user,,,,2
Frank-Zhu,user,51,51,102,105
frantic,leaf-user,,,,2
frantic1048,leaf-user,,,,3
franzejr,leaf-user,,,,2
franzinc,leaf-user,,,,3
franzose,leaf-user,,,,2
fraserxu,leaf-user,,,,6
Fraules,leaf-user,,,,2
freakkid,leaf-user,,,,2
FreddyZhao,leaf-user,,,,39
FredericJacobs,leaf-user,,,,3
FrederickWWW,leaf-user,,,,3
fredkrudger,leaf-user,,,,2
fredwu,leaf-user,,,,5
fredyfx,leaf-user,,,,3
Freeaqingme,leaf-user,,,,3
FreeBirdLjj,leaf-user,,,,4
free-developer-king,leaf-user,,,,2
freeethy,leaf-user,,,,2
freehyan,leaf-user,,,,2
Freelander,leaf-user,,,,2
freeman1229,leaf-user,,,,2
FreemenL,leaf-user,,,,2
freesouls,leaf-user,,,,2
freeuniverser,leaf-user,,,,2
freewind,leaf-user,,,,3
freeyiyi1993,leaf-user,,,,3
FreezeSoul,leaf-user,,,,6
freire45,leaf-user,,,,27
frenchy64,leaf-user,,,,2
FreyLee,leaf-user,,,,2
friendlyarm,leaf-user,,,,2
friskfly,leaf-user,,,,2
fritx,user,51,51,102,82
frogermcs,leaf-user,,,,4
frogoscar,leaf-user,,,,6
Froguard,user,17,51,68,58
frohoff,leaf-user,,,,2
fromcortes,leaf-user,,,,4
frommww,leaf-user,,,,2
FrontEndZQ,leaf-user,,,,2
front-thinking,user,33,39,72,63
froschdesign,leaf-user,,,,4
frostyplanet,leaf-user,,,,2
froydnj,leaf-user,,,,2
FrozenGene,leaf-user,,,,3
frsyuki,leaf-user,,,,4
fsiaonma,leaf-user,,,,2
fsouza,leaf-user,,,,2
fspiga,leaf-user,,,,2
ftylitak,user,5,5,10,9
fuchao2012,leaf-user,,,,2
fuhongxue,leaf-user,,,,2
fukamachi,user,51,51,102,105
fukuball,leaf-user,,,,2
fukuiretu,leaf-user,,,,3
Fuliwei,user,1,22,23,22
fulldecent,leaf-user,,,,2
fultonm,user,9,9,18,13
fumin,leaf-user,,,,3
func-hs,user,51,51,102,70
fundon,user,51,51,102,96
funini,leaf-user,,,,2
funneld,user,10,0,10,10
funzin,user,31,40,71,43
furkhan324,leaf-user,,,,2
fuser002,user,16,51,67,66
fusijie,user,51,44,95,97
FutureWL,leaf-user,,,,2
fututer,leaf-user,,,,2
fuwu1245,leaf-user,,,,2
fuyajun1983cn,user,4,10,14,12
fw1121,leaf-user,,,,3
fwahlqvist,user,12,51,63,63
fwon,user,50,40,90,84
fxrcode,leaf-user,,,,5
fxsjy,leaf-user,,,,11
fy0,leaf-user,,,,2
Fykec,leaf-user,,,,3
FYLVIP,leaf-user,,,,2
Fyrd,leaf-user,,,,2
fython,leaf-user,,,,7
fyx2014214252,leaf-user,,,,2
fzaninotto,leaf-user,,,,2
fzerorubigd,leaf-user,,,,3
g17,leaf-user,,,,2
g3k0,leaf-user,,,,3
gabazureus,leaf-user,,,,4
gaborcsardi,user,51,25,76,78
