fromNode,toNode,Confidence,InteractionType
zokeber,MichalPaszkiewicz,0,Friends
oshliaer,MichalPaszkiewicz,0,Friends
smileisak,MichalPaszkiewicz,0,follower
michielkauwatjoe,MichalPaszkiewicz,0,follower
KIKOU2016,MichalPaszkiewicz,0,Friends
Gawiga,MichalPaszkiewicz,0,follower
zzl5221281994,MichalPaszkiewicz,0,Friends
GregoryZeng,MichalPaszkiewicz,0,follower
dyingjedi,MichalPaszkiewicz,0,follower
LuisFMG,MichalPaszkiewicz,0,follower
bradpotts,MichalPaszkiewicz,0,Friends
MichalPaszkiewicz,nathanwells27,0,following
MichalPaszkiewicz,spermWhale,0,following
MichalPaszkiewicz,MrCoderon,0,following
MichalPaszkiewicz,Jossc,0,following
MichalPaszkiewicz,orangeC,0,following
MichalPaszkiewicz,Mdzza,0,following
MichalPaszkiewicz,morufib,0,Friends
MichalPaszkiewicz,antontuzov,0,Friends
MichalPaszkiewicz,abhijit945,0,following
MichalPaszkiewicz,AndiChiou,0,following
MichalPaszkiewicz,bppan,0,following
MichalPaszkiewicz,m0n0ph1,0,Friends
MichalPaszkiewicz,rkumar1209,0,following
MichalPaszkiewicz,alfa-abhi,0,following
MichalPaszkiewicz,moneya,0,Friends
MichalPaszkiewicz,andy-mc,0,following
MichalPaszkiewicz,mohanrajsambath,0,following
MichalPaszkiewicz,BFush,0,following
MichalPaszkiewicz,angelopoerio,0,following
MichalPaszkiewicz,akarshsatija,0,following
MichalPaszkiewicz,NatuMyers,0,following
MichalPaszkiewicz,wxmahen,0,following
MichalPaszkiewicz,blackhamm3rjack,0,Friends
MichalPaszkiewicz,edu-bot,0,following
MichalPaszkiewicz,isuhao,0,following
MichalPaszkiewicz,bravegurkha,0,following
MichalPaszkiewicz,jgmio,0,following
MichalPaszkiewicz,yfgeek,0,following
MichalPaszkiewicz,Iphytech,0,following
BFush,cain2,0,Friends
klajd,cain2,0,Friends
AndiChiou,cain2,0,Friends
dengyi1992,cain2,0,follower
arcanu5,cain2,0,Friends
gintern,cain2,0,follower
blackhamm3rjack,cain2,0,Friends
edu-bot,cain2,0,Friends
chongbenben,cain2,0,Friends
yfgeek,cain2,0,Friends
ReidHolmes,cain2,0,Friends
mylxn,cain2,0,Friends
zhiaixuexi,cain2,0,Friends
chenyoufu,cain2,0,Friends
orangeC,cain2,0,Friends
gcelaor,cain2,0,Friends
kfalconspb,cain2,0,Friends
Vermisse,cain2,0,Friends
iris135,cain2,0,Friends
Tsroad,cain2,0,Friends
naruto227,cain2,0,Friends
lucasbento,cain2,0,Friends
shivamshekhar,cain2,0,follower
zrcing,cain2,0,follower
ozgursarioglan,cain2,0,follower
evinw,cain2,0,follower
cynical89,cain2,0,follower
lukesUbuntu,cain2,0,follower
Gooooodman,cain2,0,follower
dotscript,cain2,0,follower
jpruiz114,cain2,0,follower
srayner,cain2,0,follower
RogerFederer03,cain2,0,follower
rod-lin,cain2,0,follower
tomo0111,cain2,0,follower
AbuYami,cain2,0,Friends
brunocvcunha,cain2,0,follower
farazfazli,cain2,0,follower
ternsip,cain2,0,follower
david3310,cain2,0,follower
qinix,cain2,0,follower
pisual,cain2,0,follower
monmon-2007,cain2,0,follower
limingyang2012,cain2,0,Friends
stoked-zz,cain2,0,follower
VagrantStory,cain2,0,follower
tvvocold,cain2,0,follower
Ballinger1215,cain2,0,Friends
MichalPaszkiewicz,cain2,0,follower
freire45,cain2,0,follower
cain2,wxmahen,0,following
cain2,answershuto,0,following
cain2,myuanyuan,0,following
cain2,SnehaRane,0,following
cain2,tccpc,0,following
cain2,SanjithKanagavel,0,following
cain2,xianhu,0,following
cain2,AmazingJTH,0,following
cain2,LIUBOliubo,0,following
cain2,qiyian,0,following
cain2,Mrzeron,0,following
cain2,haoranw,0,following
cain2,dirtycow,0,following
cain2,paramsingh96,0,following
